stock_code,mean,std,min,max
600693,3.9537809917355373,0.3155644349393647,3.38,6.35
600696,25.859194214876034,2.7614452159383878,16.75,35.8
600711,6.287148760330578,1.7077444262662929,3.88,10.84
600712,4.104586776859504,0.37872953512654245,3.57,7.17
600725,3.3460330578512396,0.4799382799153501,2.5,4.6
600783,12.591301652892561,0.9320316417809555,9.78,16.16
600808,3.029979338842975,0.44671216617258314,2.5,4.38
600819,5.131652892561983,0.6036608087499156,4.28,7.82
600829,6.667603305785124,0.7168521881805147,5.17,9.66
600858,5.567685950413224,0.43197032397606755,4.53,7.19
600863,3.127768595041322,0.29230642081447356,2.28,3.84
600875,16.683863636363636,3.106647009530042,9.75,24.35
600895,14.13452479338843,3.94588193510156,9.67,26.59
600963,6.1318595041322315,0.746787913171726,3.91,7.65
600988,16.79400826446281,2.3669332763107387,12.88,22.54
601038,10.853760330578513,1.1649862102084614,7.76,14.27
601137,15.010805785123965,2.2802786623431537,8.14,22.79
601138,11.470061983471075,5.07547688671913,6.39,25.49
601179,4.681859504132231,0.40244626313682824,3.42,5.8
601208,12.30935950413223,1.2975449835596553,9.32,16.65
601318,38.72911157024793,3.9730836931878164,28.76,47.53
601319,4.6457231404958685,0.6240747136696677,3.52,6.14
601339,4.680206611570248,0.4606175064454033,3.8,6.27
601600,4.916632231404959,0.731451958768244,3.4,6.81
601615,21.585888429752064,5.3324171543516075,11.12,34.36
601696,11.497954545454546,0.9989315979956378,9.9,14.95
601702,13.71535123966942,2.952761153073496,6.04,22.11
601717,10.611446280991736,1.1912809428900366,7.73,14.89
601857,4.784793388429752,1.3016737746487659,3.29,7.23
601958,8.684256198347107,2.0287936793670682,5.06,14.25
601991,2.7226239669421486,0.3749003112822817,1.99,3.85
603026,96.99254132231405,39.57260748152049,41.82,189.36
603033,14.745103305785124,1.5205463050858992,11.84,18.07
603076,37.01549586776859,6.568981596511265,22.01,55.88
603083,26.969111570247932,19.850589830036856,8.64,74.65
603090,23.809752066115703,4.07460005029592,17.86,35.01
603127,41.1196694214876,11.984239490421736,22.25,67.98
603186,28.97235537190083,5.979667085825124,17.87,42.45
603187,19.43435950413223,2.976116768120345,13.12,31.05
603203,25.162727272727274,3.905709204387079,14.48,33.95
603225,10.981239669421488,1.459434117197361,7.63,15.09
603226,5.386611570247934,0.4462033140443896,4.31,6.96
603256,7.582727272727273,0.7038777538319743,5.75,10.01
603268,18.358119834710745,3.5135166946023793,13.22,27.07
603279,25.12865702479339,2.6773547817698855,18.27,32.97
603301,33.81539256198347,6.6439663042021095,22.01,50.94
603311,12.136962809917355,1.4411280916934017,8.16,15.85
603324,31.34064049586777,3.8642967593066855,22.17,46.94
603331,12.648140495867768,1.1520575943575626,9.72,16.25
603366,5.884256198347107,1.3693275859874365,3.51,11.17
603389,5.554504132231405,0.5930228925780215,4.0,8.75
603398,26.66706611570248,6.891323322134521,16.02,53.14
603421,8.84785123966942,1.3202104459959703,5.62,11.48
603499,6.0075,0.7798856886560998,4.01,9.04
603516,16.12297520661157,3.709421811743423,9.3,24.06
603618,5.8967561983471075,0.4695313006616762,4.31,7.07
603677,11.765599173553719,1.2962217162029992,8.7,17.12
603680,8.237809917355372,0.8511301444550022,6.09,11.36
603690,31.36421487603306,3.5078690013964846,22.3,40.67
603696,9.285640495867769,0.8042324651907772,7.42,13.77
603698,13.69849173553719,1.4223852178668361,10.3,18.0
603700,14.001363636363637,1.3387663893056834,11.76,20.28
603757,19.534028925619833,5.426481544574982,9.21,30.25
603829,12.277045454545455,2.0606244782020915,8.09,20.29
603861,8.496157024793389,1.0864349472227146,6.46,12.21
603868,62.858636363636364,12.242137300033754,36.78,85.35
603876,21.040289256198346,6.220612925987024,11.49,39.04
603912,8.786673553719009,1.27196587745868,6.18,13.76
603928,8.626508264462808,0.6868736732440242,6.09,10.53
603929,11.731115702479338,4.137420105505652,5.93,28.08
603938,24.471921487603307,6.043966707992527,15.68,43.96
603978,20.50221074380165,3.5096907352278857,15.2,30.0
603988,10.398140495867768,1.2280772617218965,7.63,16.23
603992,14.528202479338843,1.4617380506402275,11.31,18.85
603993,4.874876033057851,0.5450459979486904,3.66,6.43
605006,8.606528925619836,1.172128329624257,6.61,11.47
605069,10.951570247933885,2.128079357735277,8.25,21.49
605116,23.585454545454546,2.1526282265113705,18.53,29.47
605255,14.978161157024793,1.411346114137787,10.83,22.29
605287,17.63357438016529,1.5215285413414372,14.87,24.44
605365,15.781446280991736,1.508010623499237,11.78,21.78
605589,21.997954545454547,4.124813534903441,14.78,37.82
688004,20.57925619834711,4.049133315295262,13.88,38.51
688005,54.666797520661156,21.531889861952163,24.17,103.76
688019,94.61435950413222,12.773803915146885,68.47,129.55
688027,125.90148760330578,23.59463336571202,75.35,176.74
688028,24.12727272727273,4.165313933622715,16.82,40.1
688091,52.506053719008264,16.116963811148224,22.56,96.99
688099,85.33971074380165,18.568864452042057,55.38,131.03
688112,48.342107438016534,9.798980684980636,26.69,73.88
688126,20.97064049586777,2.2243597266338466,16.43,27.35
688162,47.278553719008265,13.101043056447097,29.73,101.45
688177,25.908780991735537,5.86748269442079,17.3,44.99
688182,17.199028925619835,4.14289374957645,10.46,27.49
688192,36.49202479338843,8.441636925795954,19.6,54.36
688195,28.862169421487604,6.814140489069573,14.75,53.16
688200,165.76082644628102,26.275602837833368,112.45,227.24
688210,17.832066115702478,3.339971402998132,10.3,27.63
688218,18.144462809917357,5.007553623538136,9.15,39.84
688256,108.94710743801653,56.11897298308128,47.3,267.0
688268,75.7606611570248,13.00614228109497,46.19,121.3
688269,69.06378099173554,15.230803753676042,33.9,98.67
688300,30.75619834710744,5.492114091543572,17.86,49.35
688308,41.536983471074386,7.925511183997937,25.56,59.43
688377,30.4550826446281,6.576308141474494,18.31,45.32
688378,20.361921487603308,5.160055955090166,11.26,30.43
688379,18.18349173553719,1.9997379740193155,12.93,22.6
688388,40.213966942148765,18.75610663751042,18.73,97.19
688399,58.14111570247934,20.269578097931873,28.34,134.57
688488,11.677892561983471,1.51825677144676,8.53,16.74
688499,106.87305785123966,46.81565481286922,35.06,205.33
688513,35.883780991735534,2.9291808013943057,28.47,43.26
688518,29.899834710743804,6.501031991141749,18.42,46.66
